id,topic,geo_level,geo,year,number
124562,Cigarette Smoking among Adults,Neighborhood (UHF 42),Port Richmond,2012,20
124563,Cigarette Smoking among Adults,Neighborhood (UHF 42),Stapleton - St. George,2012,20
124564,Cigarette Smoking among Adults,Neighborhood (UHF 42),Willowbrook,2012,14.4
124565,Cigarette Smoking among Adults,Neighborhood (UHF 42),South Beach - Tottenville,2012,14.4
180392,Cigarette Smoking among Adults,Neighborhood (UHF 42),Kingsbridge - Riverdale,2013,13.3
180393,Cigarette Smoking among Adults,Neighborhood (UHF 42),Northeast Bronx,2013,16.8
180394,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fordham - Bronx Pk,2013,17.7
180395,Cigarette Smoking among Adults,Neighborhood (UHF 42),Pelham - Throgs Neck,2013,13.2
180396,Cigarette Smoking among Adults,Neighborhood (UHF 42),Crotona -Tremont,2013,17.4
180397,Cigarette Smoking among Adults,Neighborhood (UHF 42),High Bridge - Morrisania,2013,17.4
180398,Cigarette Smoking among Adults,Neighborhood (UHF 42),Hunts Point - Mott Haven,2013,17.4
180399,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenpoint,2013,21
180400,Cigarette Smoking among Adults,Neighborhood (UHF 42),Downtown - Heights - Slope,2013,17.7
180401,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bedford Stuyvesant - Crown Heights,2013,14.9
180402,Cigarette Smoking among Adults,Neighborhood (UHF 42),East New York,2013,18.3
180403,Cigarette Smoking among Adults,Neighborhood (UHF 42),Sunset Park,2013,12
180404,Cigarette Smoking among Adults,Neighborhood (UHF 42),Borough Park,2013,20.5
180405,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Flatbush - Flatbush,2013,11
180406,Cigarette Smoking among Adults,Neighborhood (UHF 42),Canarsie - Flatlands,2013,10
180407,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bensonhurst - Bay Ridge,2013,19
180408,Cigarette Smoking among Adults,Neighborhood (UHF 42),Coney Island - Sheepshead Bay,2013,15.9
180409,Cigarette Smoking among Adults,Neighborhood (UHF 42),Williamsburg - Bushwick,2013,17
180410,Cigarette Smoking among Adults,Neighborhood (UHF 42),Washington Heights,2013,17.9
180411,Cigarette Smoking among Adults,Neighborhood (UHF 42),Central Harlem - Morningside Heights,2013,19.4
180412,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Harlem,2013,18.4
180413,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper West Side,2013,9.8
180414,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper East Side,2013,14.6
180415,Cigarette Smoking among Adults,Neighborhood (UHF 42),Chelsea - Clinton,2013,11.7
180416,Cigarette Smoking among Adults,Neighborhood (UHF 42),Gramercy Park - Murray Hill,2013,14.6
180417,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenwich Village - SoHo,2013,11.7
180418,Cigarette Smoking among Adults,Neighborhood (UHF 42),Union Square - Lower East Side,2013,19.5
180419,Cigarette Smoking among Adults,Neighborhood (UHF 42),Lower Manhattan,2013,19.5
180420,Cigarette Smoking among Adults,Neighborhood (UHF 42),Long Island City - Astoria,2013,16
180421,Cigarette Smoking among Adults,Neighborhood (UHF 42),West Queens,2013,13
180422,Cigarette Smoking among Adults,Neighborhood (UHF 42),Flushing - Clearview,2013,19.2
180423,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bayside - Little Neck,2013,15.7
180424,Cigarette Smoking among Adults,Neighborhood (UHF 42),Ridgewood - Forest Hills,2013,15.4
180425,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fresh Meadows,2013,15.7
180426,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southwest Queens,2013,19.5
180427,Cigarette Smoking among Adults,Neighborhood (UHF 42),Jamaica,2013,16.2
180428,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southeast Queens,2013,14.6
180429,Cigarette Smoking among Adults,Neighborhood (UHF 42),Rockaways,2013,20.1
180430,Cigarette Smoking among Adults,Neighborhood (UHF 42),Port Richmond,2013,19
180431,Cigarette Smoking among Adults,Neighborhood (UHF 42),Stapleton - St. George,2013,19
180432,Cigarette Smoking among Adults,Neighborhood (UHF 42),Willowbrook,2013,17.9
180433,Cigarette Smoking among Adults,Neighborhood (UHF 42),South Beach - Tottenville,2013,17.9
55193,Asthma Hospitalizations (Youths and Adults),Borough,Bronx,2008,57.7
55194,Asthma Hospitalizations (Youths and Adults),Borough,Brooklyn,2008,27.3
55195,Asthma Hospitalizations (Youths and Adults),Borough,Manhattan,2008,23.6
55196,Asthma Hospitalizations (Youths and Adults),Borough,Queens,2008,16
55197,Asthma Hospitalizations (Youths and Adults),Borough,Staten Island,2008,18.7
